date,Hifi Finance crypto,Unibot crypto,Akropolis crypto,Nest Protocol crypto,Groestlcoin crypto,isPartial,BlockBank crypto,Symbol crypto,Dusk Network crypto,Metal crypto,Merit Circle crypto,isPartial,NvirWorld crypto,Automata Network crypto,Wing Finance crypto,Helium crypto,SafePal crypto,isPartial,Cronos crypto,TrueFi crypto,Swop.fi crypto,Voyager Token crypto,Render Token crypto,isPartial,IoTeX crypto,Midnight crypto,Numeraire crypto,SPACE ID crypto,Ambrosus crypto,isPartial,My Neighbor Alice crypto,Gods Unchained crypto,Kadena crypto,Bella Protocol crypto,Bluzelle crypto,isPartial,Polkastarter crypto,Solana crypto,Santos FC Fan Token crypto,aelf crypto,Prosper crypto,isPartial,Pendle crypto,FIO Protocol crypto,BarnBridge crypto,1inch Token crypto,Arkham crypto,isPartial,Unifi Protocol DAO crypto,Audius crypto,JOE crypto,Atletico Madrid Fan Token crypto,Gitcoin crypto,isPartial,Open Campus crypto,Verge crypto,Reef Finance crypto,Ren crypto,SOLVE crypto,isPartial
2023-02-07,0,0,0,0,0,False,0,18,18,0,0,False,0,0,0,31,0,False,77,0,0,0,0,False,0,21,0,0,0,False,0,26,0,0,0,False,0,27,0,7,0,False,0,0,0,0,0,False,0,0,20,0,0,False,0,0,0,9,0,False
2023-02-08,0,0,0,0,0,False,0,11,23,14,0,False,0,0,0,0,0,False,40,0,0,0,0,False,0,0,12,0,0,False,0,14,0,0,19,False,0,32,0,2,7,False,0,0,11,0,0,False,0,19,20,0,0,False,0,0,0,15,0,False
2023-02-09,0,14,0,0,0,False,0,15,12,0,0,False,0,0,0,16,0,False,0,0,0,0,41,False,48,11,0,14,0,False,0,20,23,27,0,False,0,22,0,0,8,False,0,0,0,0,0,False,0,16,46,0,12,False,0,12,0,31,13,False
2023-02-10,0,44,0,0,38,False,0,0,0,43,0,False,0,0,0,0,14,False,23,0,0,0,0,False,0,0,0,0,9,False,0,0,18,0,0,False,0,17,0,0,0,False,0,10,7,0,0,False,0,0,9,0,0,False,0,0,0,0,0,False
2023-02-11,0,0,0,0,0,False,0,17,0,0,0,False,0,0,0,0,0,False,0,0,0,39,0,False,14,0,11,0,11,False,14,0,25,25,12,False,5,19,0,0,0,False,10,14,0,0,0,False,0,11,0,0,0,False,0,0,0,0,0,False
2023-02-12,0,0,0,0,0,False,0,0,0,17,18,False,0,0,0,0,0,False,44,0,0,0,0,False,0,22,0,0,0,False,0,0,0,0,0,False,0,39,0,0,0,False,0,18,0,0,7,False,0,11,0,0,0,False,0,0,14,22,15,False
2023-02-13,0,0,0,0,0,False,13,0,14,24,14,False,0,0,0,28,0,False,0,0,0,0,0,False,0,0,0,0,10,False,0,0,0,14,0,False,0,12,0,0,0,False,9,0,8,0,10,False,10,19,0,0,0,False,0,0,0,29,0,False
2023-02-14,0,0,24,0,25,False,0,32,0,0,0,False,0,0,0,16,0,False,0,0,0,0,0,False,0,0,12,11,26,False,23,0,0,0,0,False,0,21,0,3,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False
2023-02-15,0,0,17,0,0,False,0,35,0,22,0,False,0,0,16,85,0,False,24,0,0,0,0,False,0,27,0,0,0,False,0,0,11,13,0,False,5,21,0,0,0,False,8,0,0,0,0,False,14,0,0,0,0,False,0,18,0,0,17,False
2023-02-16,18,0,0,14,0,False,17,0,0,16,14,False,0,0,21,52,15,False,23,70,0,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,29,0,0,0,False,0,0,0,0,0,False,0,23,39,0,0,False,0,0,0,0,15,False
2023-02-17,0,0,25,0,0,False,0,18,18,18,0,False,0,0,0,28,23,False,48,17,0,29,0,False,0,0,9,0,0,False,0,0,0,0,0,False,0,15,0,0,0,False,9,0,5,0,0,False,0,0,12,0,0,False,14,0,0,12,0,False
